Level,Topic,Uni,Group,Year,Grade,Host,Location,Theme
一等奖,基于多元数据融合的列车晚点预测系统,中南大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
一等奖,基于信息补偿和视认纠偏的地下互通交织段交通安全导控系统,武汉理工大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于蓝牙技术的共享单车规范化停车管理系统,长安大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,交叉口“盲选车道”设计方法与仿真实现,长沙理工大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于多传感器信息融合的智能停车系统,南京理工大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于私人停车位共享圈的停车方案设计,中南林业科技大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,儿童智能公交卡设计SCC(Smart Card for Children),长沙理工大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
二等奖,基于势能场与社会力模型融合的轨道交通车站应急疏散仿真体系研究,同济大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,课间学生更换教室耗时分析及教室排课方案优化设计,河海大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于移动感知技术的公交乘客出行信息提取与时空特征挖掘,东南大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,道路交叉口盲道设计与控制,河南理工大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,四通道大容量共享单车立体存取站模型设计,西华大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于GISDK和高德地图JS API二次开发的公交可达性综合评价系统,江苏大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,面向大数据的公共自行车供需分析与调度决策平台,南通大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
三等奖,基于数据挖掘的校园共享单车动态调度系统及多功能停取装置,山东建筑大学,A,2018,13,长沙理工大学,湖南长沙,智慧与共享
